show_id,director_name
39440,Davis Guggenheim
48393,Miguel Ángel Vivas
51306,Raymond Yip Wai-Man
40912,Tim Sullivan
42966,Milan Luthria
47088,Robert Pulcini
47088,Shari Springer Berman
36699,Dmitri Voronkov
318947,Jim Wynorski
52043,Philippe Guillard
50737,Yavuz Turgul
40722,Scott Culver
71622,Fernando Barreda Luna
333926,Matt Taylor
46040,Farah Khan
46789,Thomas Vinterberg
27004,Stephen Milburn Anderson
92472,Qaushiq Mukherjee
43727,Dan Ireland
188282,Ryuta Tasaki
37828,Janus Metz
84250,Khaled Marei
188288,Koichi Sakamoto
466852,Robert Hughes
466852,Dan Povenmire
53514,Kim Hyun-seok
32407,Simon Fellows
70364,Fred Olen Ray
55758,Kim Sang-man
32904,Gerard Johnson
56623,Jacques Malaterre
44773,Ben Hayflick
44773,Adam Silver
52349,Éric Besnard
40025,Venus Keung
40025,Wong Jing
44811,Steven R. Monroe
40911,Doze Niu Cheng-Tse
316776,Nabwana IGG
47261,Pablo Trapero
45839,Clay Weiner
41827,Simon Rumley
44219,Rob Schneider
36696,Inna Evlannikova
36696,Svyatoslav Ushakov
41518,Sanjay Leela Bhansali
37659,Tom DiCillo
64205,Panna Rittikrai
64205,Morakat Kaewthanek
47557,Alexey Uchitel
57216,Paolo Costella
56405,Abdellatif Kechiche
51455,Yoshihiro Nishimura
51455,Noboru Iguchi
51455,Tak Sakaguchi
53459,Johannes Roberts
63786,Granz Henman
38277,Fabien Onteniente
40247,Nicole Holofcener
48832,Bryan Lee O'Malley
51875,Tim Cox
66193,William Kaufman
60556,Neri Parenti
57019,Miguel Cohan
63415,Wong Ching-Po
46718,Joaquim Dos Santos
62756,Hari
56529,Phil Flores
56529,Mitchell Altieri
67560,Kōta Yoshida
56929,John Dunson
56929,Sean Dunson
36298,Carlo Verdone
54328,Xiaolu Xue
41120,Sam Dunn
41120,Scot McFadyen
60575,Patrik Syversen
63462,Fuminori Kaneko
68193,Jim Donovan
74352,James Orr
56180,Gustavo Hernández
59866,Chong Yun-su
57500,Maria Lindberg
70712,Fez Ortega
49347,John V. Soto
92243,Alberto Negrin
35025,Pascal Bourdiaux
72721,Patricio Guzmán
57436,Jørgen Leth
53344,Wes Orshoski
53344,Greg Olliver
44566,Siddharth Anand
37832,Gustave Kervern
37832,Benoît Delépine
121046,Pundhevanop Dhewakul
38325,Alexey Popogrebsky
74471,Howard J. Ford
74471,Jonathan Ford
45792,Gregg Champion
52939,Sergey Glezin
69597,Selvaraghavan
53844,Anne Depétrini
46584,Jacob Tierney
27651,David DeCoteau
46873,Hansjörg Thurn
45527,Uwe Boll
70925,Jim Loach
57517,Bryan Michael Stoller
90363,Mark Sheppard
254144,Hideo Jojo
56968,Rosemary Rodriguez
46636,Joseph Vilsmaier
44862,Ash Adams
45013,Christopher Landon
45368,Alexandre Arcady
61933,Cosima Dannoritzer
47467,Kim Bass
39477,Ryan Craig
46106,Kōji Wakamatsu
57011,Seiji Chiba
89704,Werner Herzog
89704,Dmitry Vasyukov
70115,Mark Hartley
51764,Douglas Langway
